list_number,is_target,test_position,type_general,type_specific,meanx
1,false,1,Fn,Fn+1,0.038461538461538464
1,true,2,Tn,Tn+1,0.967741935483871
1,false,3,F,F,0.04020100502512563
1,true,4,T,T,0.915
1,true,5,Tn,Tn+1,0.9523809523809523
1,false,6,F,F,0.029411764705882353
1,false,7,F,F,0.045454545454545456
1,true,8,T,T,0.9635416666666666
1,false,9,Fn,Fn+1,0.017241379310344827
1,true,10,T,T,0.9346733668341709
1,false,11,F,F,0.02358490566037736
1,false,12,Fn,Fn+1,0.046511627906976744
1,true,13,T,T,0.917098445595855
1,false,14,F,F,0.03864734299516908
1,true,15,T,T,0.9692307692307692
1,true,16,T,T,0.9709302325581395
1,false,17,F,F,0.019138755980861243
1,false,18,F,F,0.04285714285714286
1,true,19,T,T,0.9540816326530612
1,false,20,F,F,0.061224489795918366
1,false,21,F,F,0.04477611940298507
1,true,22,Tn,Tn+1,0.9545454545454546
1,false,23,F,F,0.042328042328042326
1,false,24,F,F,0.05392156862745098
1,true,25,T,T,0.9650655021834061
1,true,26,T,T,0.9162303664921466
1,true,27,T,T,0.954954954954955
1,false,28,F,F,0.07428571428571429
1,true,29,T,T,0.9532710280373832
1,true,30,T,T,0.9797979797979798
2,false,1,Fn,Fn,0.7380952380952381
2,true,2,T,T,0.8516483516483516
2,false,3,F,F,0.016666666666666666
2,false,4,Fn,Fn+1,0.031746031746031744
2,false,5,F,F,0.0
2,false,6,Fn,Fn,0.9111111111111111
2,false,7,Tn,Tn,0.9827586206896551
2,true,8,T,T,0.8703703703703703
2,true,9,T,T,0.896551724137931
2,true,10,T,T,0.8669724770642202
2,true,11,T,T,0.89
2,false,12,Fn,Fn,0.7454545454545455
2,true,13,T,T,0.8862559241706162
2,false,14,Fn,Fn+1,0.058823529411764705
2,true,15,Tn,Tn+1,0.9
2,true,16,T,T,0.8941798941798942
2,false,17,SOn,SOn,0.8979591836734694
2,true,18,Tn,Tn+1,0.96
2,false,19,Fn,Fn+1,0.1346153846153846
2,true,20,T,T,0.900523560209424
2,false,21,SOn,SOn,0.8360655737704918
2,true,22,Tn,Tn+1,0.8431372549019608
2,true,23,T,T,0.9068627450980392
2,true,24,T,T,0.9030612244897959
2,true,25,T,T,0.9138755980861244
2,false,26,Tn,Tn,1.0
2,false,27,SOn,SOn,0.9074074074074074
2,true,28,T,T,0.9065420560747663
2,false,29,F,F,0.044444444444444446
2,false,30,Tn,Tn,0.9787234042553191
3,false,1,Fn,Fn,0.7413793103448276
3,false,2,F,F,0.018867924528301886
3,false,3,Fn,Fn,0.8
3,false,4,Tn,Tn,0.9791666666666666
3,false,5,SOn,SOn,0.7636363636363637
3,true,6,Tn,Tn+1,0.9
3,true,7,T,T,0.8620689655172413
3,true,8,T,T,0.8609865470852018
3,true,9,T,T,0.8651162790697674
3,false,10,Fn,Fn,0.8148148148148148
3,false,11,Tn,Tn,0.96
3,false,12,Tn,Tn,1.0
3,false,13,SOn,SOn,0.7678571428571429
3,true,14,Tn,Tn+1,0.8888888888888888
3,false,15,Fn,Fn+1,0.10204081632653061
3,false,16,F,F,0.017241379310344827
3,true,17,T,T,0.8342245989304813
3,true,18,T,T,0.883248730964467
3,true,19,T,T,0.8599033816425121
3,false,20,F,F,0.05357142857142857
3,true,21,T,T,0.9117647058823529
3,true,22,T,T,0.9166666666666666
3,true,23,T,T,0.9109947643979057
3,false,24,Fn,Fn+1,0.11538461538461539
3,true,25,T,T,0.8473684210526315
3,true,26,T,T,0.8716577540106952
3,false,27,Fn,Fn+1,0.020833333333333332
3,true,28,Tn,Tn+1,0.9464285714285714
3,true,29,T,T,0.9224137931034483
3,false,30,SOn,SOn,0.8571428571428571
4,true,1,T,T,0.7837837837837838
4,true,2,T,T,0.875
4,false,3,F,F,0.022727272727272728
4,true,4,T,T,0.8841201716738197
4,true,5,T,T,0.8969072164948454
4,false,6,F,F,0.08695652173913043
4,false,7,Tn,Tn,0.9512195121951219
4,false,8,Tn,Tn,1.0
4,false,9,F,F,0.02127659574468085
4,false,10,Tn,Tn,0.8979591836734694
4,true,11,T,T,0.9042553191489362
4,false,12,Fn,Fn+1,0.06557377049180328
4,true,13,Tn,Tn+1,0.9090909090909091
4,false,14,Fn,Fn+1,0.02040816326530612
4,false,15,SOn,SOn,0.8108108108108109
4,false,16,Fn,Fn,0.9148936170212766
4,true,17,Tn,Tn+1,0.9215686274509803
4,false,18,SOn,SOn,0.7872340425531915
4,false,19,Fn,Fn,0.7777777777777778
4,true,20,T,T,0.8634361233480177
4,true,21,T,T,0.8706467661691543
4,true,22,T,T,0.8737864077669902
4,false,23,Fn,Fn,0.8297872340425532
4,true,24,T,T,0.9052631578947369
4,true,25,T,T,0.8770053475935828
4,false,26,SOn,SOn,0.9347826086956522
4,true,27,T,T,0.8701923076923077
4,true,28,Tn,Tn+1,0.8392857142857143
4,false,29,Fn,Fn+1,0.09615384615384616
4,true,30,T,T,0.9036697247706422
5,false,1,Tn,Tn,0.9672131147540983
5,false,2,Fn,Fn+1,0.0
5,false,3,Fn,Fn+1,0.018518518518518517
5,true,4,T,T,0.8390243902439024
5,true,5,T,T,0.835
5,true,6,T,T,0.897196261682243
5,false,7,F,F,0.06521739130434782
5,true,8,Tn,Tn+1,0.9019607843137255
5,false,9,Fn,Fn+1,0.0
5,false,10,Tn,Tn,0.9473684210526315
5,true,11,Tn,Tn+1,0.9230769230769231
5,true,12,T,T,0.8743718592964824
5,false,13,SOn,SOn,0.78
5,true,14,T,T,0.8762886597938144
5,true,15,T,T,0.861904761904762
5,true,16,T,T,0.86
5,false,17,Tn,Tn,0.9818181818181818
5,true,18,T,T,0.9128205128205128
5,true,19,T,T,0.8775510204081632
5,false,20,F,F,0.037037037037037035
5,false,21,SOn,SOn,0.8461538461538461
5,false,22,SOn,SOn,0.8703703703703703
5,true,23,Tn,Tn+1,0.9122807017543859
5,true,24,T,T,0.8842592592592593
5,true,25,T,T,0.9076923076923077
5,false,26,Fn,Fn,0.75
5,false,27,F,F,0.07272727272727272
5,true,28,T,T,0.9043062200956937
5,false,29,Fn,Fn,0.9
5,false,30,Fn,Fn,0.7804878048780488
6,true,1,T,T,0.7962962962962963
6,true,2,T,T,0.7918781725888325
6,true,3,T,T,0.8545454545454545
6,true,4,T,T,0.8640776699029126
6,false,5,Fn,Fn+1,0.0
6,false,6,Fn,Fn,0.7058823529411765
6,true,7,T,T,0.8877005347593583
6,true,8,T,T,0.8820754716981132
6,true,9,Tn,Tn+1,0.8148148148148148
6,true,10,T,T,0.8676470588235294
6,false,11,Fn,Fn+1,0.04838709677419355
6,false,12,F,F,0.018518518518518517
6,true,13,T,T,0.8787878787878788
6,true,14,T,T,0.8984771573604061
6,true,15,T,T,0.8714285714285714
6,false,16,SOn,SOn,0.875
6,false,17,F,F,0.0
6,true,18,T,T,0.8679245283018868
6,false,19,Fn,Fn,0.813953488372093
6,true,20,Tn,Tn+1,0.9
6,false,21,Tn,Tn,0.9787234042553191
6,false,22,Fn,Fn+1,0.01694915254237288
6,true,23,Tn,Tn+1,0.9183673469387755
6,true,24,T,T,0.896551724137931
6,false,25,SOn,SOn,0.782608695652174
6,false,26,F,F,0.0
6,false,27,Tn,Tn,0.9777777777777777
6,false,28,Fn,Fn,0.7708333333333334
6,false,29,Tn,Tn,0.96
6,false,30,SOn,SOn,0.8461538461538461
7,false,1,Fn,Fn,0.6415094339622641
7,true,2,T,T,0.8324873096446701
7,true,3,T,T,0.8666666666666667
7,false,4,SOn,SOn,0.8148148148148148
7,false,5,Fn,Fn+1,0.0392156862745098
7,false,6,SOn,SOn,0.7307692307692307
